tau_list track
6.39315 0.71129
6.41318 0.70957
6.43322 0.70786
6.45326 0.70616
6.47330 0.70446
6.49334 0.70276
6.51337 0.70107
6.53341 0.69938
6.55345 0.69770
6.57349 0.69602
6.59353 0.69435
6.61357 0.69268
6.63360 0.69102
6.65364 0.68936
6.67368 0.68770
6.69372 0.68605
6.71376 0.68441
6.73379 0.68277
6.75383 0.68114
6.77387 0.67951
6.79391 0.67789
6.81395 0.67627
6.83398 0.67465
6.85402 0.67304
6.87406 0.67144
6.89410 0.66984
6.91414 0.66824
6.93417 0.66666
6.95421 0.66507
6.97425 0.66349
6.99429 0.66191
7.01433 0.66034
7.03436 0.65878
7.05440 0.65722
7.07444 0.65566
7.09448 0.65411
7.11452 0.65256
7.13456 0.65102
7.15459 0.64949
7.17463 0.64795
7.19467 0.64643
7.21471 0.64490
7.23475 0.64338
7.25478 0.64187
7.27482 0.64036
7.29486 0.63886
7.31490 0.63736
7.33494 0.63587
7.35497 0.63438
7.37501 0.63289
7.39505 0.63141
7.41509 0.62994
7.43513 0.62847
7.45516 0.62700
7.47520 0.62554
7.49524 0.62408
7.51528 0.62263
7.53532 0.62118
7.55535 0.61974
7.57539 0.61830
7.59543 0.61687
7.61547 0.61544
7.63551 0.61401
7.65555 0.61259
7.67558 0.61118
7.69562 0.60977
7.71566 0.60836
7.73570 0.60696
7.75574 0.60556
7.77577 0.60417
7.79581 0.60278
7.81585 0.60140
7.83589 0.60002
7.85593 0.59864
7.87596 0.59727
7.89600 0.59591
7.91604 0.59455
7.93608 0.59319
7.95612 0.59183
7.97615 0.59049
7.99619 0.58914
8.01623 0.58780
8.03627 0.58647
8.05631 0.58514
8.07634 0.58381
8.09638 0.58249
8.11642 0.58117
8.13646 0.57986
8.15650 0.57854
8.17654 0.57724
8.19657 0.57594
8.21661 0.57464
8.23665 0.57335
8.25669 0.57206
8.27673 0.57078
8.29676 0.56950
8.31680 0.56822
8.33684 0.56695
8.35688 0.56568
8.37692 0.56442
8.39695 0.56316
8.41699 0.56191
8.43703 0.56066
8.45707 0.55941
8.47711 0.55817
8.49714 0.55692
8.51718 0.55569
8.53722 0.55446
8.55726 0.55323
8.57730 0.55201
8.59733 0.55079
8.61737 0.54958
8.63741 0.54837
8.65745 0.54716
8.67749 0.54596
8.69753 0.54476
8.71756 0.54356
8.73760 0.54237
8.75764 0.54119
8.77768 0.54000
8.79772 0.53882
8.81775 0.53765
8.83779 0.53647
8.85783 0.53531
8.87787 0.53414
8.89791 0.53298
8.91794 0.53183
8.93798 0.53068
8.95802 0.52953
8.97806 0.52838
8.99810 0.52724
9.01813 0.52610
9.03817 0.52497
9.05821 0.52384
9.07825 0.52271
9.09829 0.52159
